title,english-title,year,month,pages
배를 엮다,The Great Passage,2026,9,336
노인과 바다,The Old Man and the Sea,2026,8,204
살찌지 않는 몸,,2026,8,340
달까지 가자,,2026,8,364
당신 인생의 이야기,Stories of Your Life and Others,2026,8,448
더 기버 1,The Go-Giver,2026,6,240
디자인 구구단,,2026,6,208
횡설수설하지 않고 정확하게 설명하는 법,,2026,6,228
그만 배우기의 기술,Lean Learning,2026,6,344
아주 작은 습관의 힘,Atomic Habits,2026,5,360
테크니컬 리더,Becoming a Technical Leader,2026,5,424
이렇게 작지만 확실한 행복,,2026,5,284
좋다고 하니까 나도 좋다,,2026,5,244
누가 내 치즈를 옮겼을까?,Who Moved My Cheese?,2026,5,128
일의 기쁨과 슬픔,,2026,5,236
철학은 날씨를 바꾼다,,2026,4,344
소란스러운 세상 속 혼자를 위한 책,,2026,4,192
건축가의 공간 일기,,2026,4,248
와인버그에게 배우는 차곡차곡 글쓰기,,2026,4,288
지적 대화를 위한 넓고 얕은 지식 2,,2026,4,334
대한민국 헌법,,2026,3,204
미니멀리즘 프로그래머,simplicity: sustainable humane and effective software development,2026,3,154
실패는 나침반이다,,2026,3,232
괴테는 모든 것을 말했다,,2026,3,248
사람은 무엇으로 사는가,,2026,3,256
데이터 과학자 원칙,,2026,3,272
내 인생을 빛내줄 스마트폰 사진,,2026,2,252
글쓰기로 나를 찾다,,2026,2,232
글쓰기와 메타포,,2026,2,160
100일 글쓰기 곰사람 프로젝트,,2026,2,180
모든 관계는 말투에서 시작된다,,2026,2,200
이쁘게 말하는 당신이 좋다,,2026,2,256
논리적으로 말하는 테크닉,Logical Speaking Techniques,2026,2,248
#100일챌린지,,2026,1,320
대체 뭐가 문제야,Are Your Lights On?,2026,1,180
요리를 한다는 것,,2026,1,224
우주인들이 인간관계로 스트레스받을 때 우주정거장에서 가장 많이 읽은 대화책,Difficult Conversations,2026,1,384
일 잘하는 엔지니어의 생각 기법,How to Make Things Faster,2026,1,384
진짜 좋아하는 일만 하고 사는 법,Hell Yeah or No,2026,1,224
노 하드 필링스,No Hard Feelings,2025,12,368
데이터 문해력,Data Literacy,2025,12,240
리크루터의 채용 실무 가이드,,2025,12,272
실패를 생각하지 않는 연습,,2025,12,292
애플에서는 단순하게 일합니다,,2025,11,176
자기만의 트랙,,2025,11,216
에디토리얼 씽킹,Editorial Thinking,2025,11,224
완벽에 관하여,Building: A Carpenter's Notes on Life & the Art of Good Work,2025,11,368
일을 잘한다는 것,,2025,11,248
The Tech Resume Inside Out,,2025,10,217
나는 메트로폴리탄 미술관의 경비원입니다,All the Beauty in the World,2025,9,368
그림들,,2025,9,344
자기만의 트랙,,2025,9,216
뉴욕에게 묻다,,2025,9,252
디테일의 발견,,2025,9,288
뉴욕은 어떻게 뉴욕이 됐을까?,,2025,9,220
함께 자라기,,2025,9,228
완벽한 선택은 없다,,2025,8,216
린 소프트웨어 개발,Lean Software Development,2025,8,296
실용주의 사고와 학습,Pragmatic Thinking and Learning,2025,8,300
INFJ 의사의 병원 일기,,2025,8,240
안다는 착각,,2025,8,218
노트의 품격,,2025,8,272
왜 나는 항상 결심만 할까?,The Willpower Instinct,2025,7,381
달리기를 말할 때 내가 하고 싶은 이야기,What I Talk About When I Talk About Running,2025,7,280
단 한 번의 삶,,2025,7,200
내게 남은 스물다섯 번의 계절,25 letzte Sommer,2025,7,168
무엇이 1등 팀을 만드는가?,Leading Effective Engineering Teams,2025,6,412
진홍색 연구,A Study in Scarlet,2025,5,184
(사용자를) 생각하게 하지 마!,Don't Make Me Think,2025,4,240
나 홀로 유럽,,2025,4,386
그리고 아무도 없었다,And Then There Were None,2025,4,331
모든 것은 예측 가능하다,Everything Is Predictable,2025,4,444
주문하신 대만 간식 나왔습니다,,2025,4,352
책 잘 읽는 방법,,2025,3,256
80:20 학습법,,2025,3,208
헬스는 쪼렙입니다만,,2025,3,268
현직 약사가 알려주는 영양제 특강,,2025,3,220
우리는 왜 잠을 자야할까,Why We Sleep,2025,3,512
더 머니북,,2025,2,464
비만코드,The Obesity Code,2025,2,408
불안한 완벽주의자를 위한 책,The Anxious Perfectionist,2025,2,232
정리의 기술,Spark Joy,2025,2,268
어디서 살 것인가: 우리가 살고 싶은 곳의 기준을 바꾸다,,2025,1,380
아티스트의 탁구 노트,,2025,1,159
그림으로 배우는 HTTP & Network Basics,,2025,1,320
어린왕자,The Little Prince,2024,12,136
오늘을 사는 이유,Carpe Diem Redeemed,2024,12,228
죽음의 수용소에서,Man's Search for Meaning,2024,11,248
1만 시간의 재발견,Peak: Secrets from the New Science of Expertise,2024,10,416
제텔카스텐,How to Take Smart Notes,2024,9,248
이방인,The Stranger,2024,9,280
이동진 독서법,,2024,9,204
피플웨어,Peopleware,2024,8,336
딥 워크,Deep Work,2024,6,268
Tidy First?,,2024,5,248
내가 한 말을 내가 오해하지 않기로,,2024,4,168
가상 면접 사례로 배우는 머신러닝 시스템 설계 기초,Machine Learning System Design Interview,2024,3,336
개발자의 글쓰기,,2024,2,276
거인의 노트,,2024,2,292
유난한 도전,,2023,12,336
함께 자라기,,2023,11,228
진작 이렇게 책을 읽었더라면,,2023,4,184
메이크타임,Make Time : How to focus on what matters every day,2022,10,308
이팩티브 엔지니어,The Effective Engineer,2022,7,328
